UNICODE;P;D;L;V;lat;long;y_proj;x_proj
6.92.69.6818;6;92;69;6818;-16.35006141;-72.23147479;-1926772.57;2760267.522
6.92.69.6819;6;92;69;6819;-16.34977541;-72.23162745;-1926737.26;2760253.849
6.92.69.6820;6;92;69;6820;-16.34958292;-72.23114974;-1926720.501;2760310.228
6.92.69.6821;6;92;69;6821;-16.34988472;-72.23097505;-1926757.926;2760326.192
6.92.69.6822;6;92;69;6822;-16.35013697;-72.23083342;-1926789.155;2760339.04
6.92.69.6823;6;92;69;6823;-16.35037385;-72.23070347;-1926818.442;2760350.761
6.92.69.6824;6;92;69;6824;-16.35061776;-72.23054667;-1926848.877;2760365.427
6.92.69.6825;6;92;69;6825;-16.35090556;-72.23036548;-1926884.742;2760382.299
6.92.69.6826;6;92;69;6826;-16.35112443;-72.23022044;-1926912.105;2760395.95
6.92.69.6827;6;92;69;6827;-16.35131323;-72.23011035;-1926935.527;2760406.027
6.92.69.6828;6;92;69;6828;-16.34990786;-72.23284491;-1926738.064;2760114.642
6.92.69.6829;6;92;69;6829;-16.34970371;-72.23296432;-1926712.734;2760103.703
6.92.69.6830;6;92;69;6830;-16.34948853;-72.23310201;-1926685.892;2760090.837
6.92.69.6831;6;92;69;6831;-16.34926679;-72.23320929;-1926658.65;2760081.488
6.92.69.6832;6;92;69;6832;-16.34905984;-72.23334386;-1926632.809;2760068.871
6.92.69.6833;6;92;69;6833;-16.34888008;-72.23282148;-1926618.079;2760130.137
