ident;lat;long;y_proj;x_proj;new_seg
1.11.21-8;-16.37431123;-71.50728025;-1938548.823;2841936.611;False
1.11.21-8;-16.37461239;-71.50758525;-1938580.362;2841898.087;False
1.11.21-9; ; ;-1.516416327;20763369.87; 
1.11.21-9;-16.37363827;-71.50581341;-1938488.243;2842111.767;False
1.11.21-9;-16.37297735;-71.50483286;-1938422.948;2842231.611;False
1.11.21-9;-16.37284298;-71.50463676;-1938409.633;2842255.607;False
1.11.21-9;-16.37254119;-71.50417893;-1938379.945;2842311.476;False
1.11.21-9;-16.37230242;-71.50435775;-1938349.639;2842294.31;False
1.11.21-9;-16.37257878;-71.50477995;-1938376.788;2842242.815;False
1.11.21-9;-16.37290184;-71.50528309;-1938408.403;2842181.53;False
1.11.21-9;-16.37338764;-71.50600378;-1938456.398;2842093.446;False
1.11.21-10; ; ;-1.516416327;20763369.87; 
1.11.21-10;-16.37249462;-71.50410892;-1938375.356;2842320.025;False
1.11.21-10;-16.37158293;-71.50275154;-1938285.348;2842485.887;False
1.11.21-10;-16.37138675;-71.50284721;-1938261.093;2842477.596;False
1.11.21-10;-16.37225492;-71.50426047;-1938345.284;2842305.963;False
1.11.21-10;-16.37229921;-71.50425816;-1938350.517;2842305.648;False
1.11.21-11; ; ;-1.516416327;20763369.87; 
1.11.21-11;-16.37244622;-71.50327411;-1938380.19;2842415.345;False
1.11.21-11;-16.37123401;-71.50158661;-1938259.034;2842622.575;False
1.11.21-11;-16.37094099;-71.50179146;-1938222.025;2842603.165;False
1.11.21-11;-16.37145126;-71.50248719;-1938273.209;2842517.59;False
1.11.21-11;-16.37214866;-71.50351222;-1938342.229;2842392.221;False
1.11.22-1; ; ;-1.516416327;20763369.87; 
1.11.22-1;-16.37836668;-71.50854725;-1939009.315;2841739.971;False
1.11.22-1;-16.3780238;-71.50812544;-1938974.347;2841792.287;False
1.11.22-1;-16.37799395;-71.5081255;-1938970.84;2841792.671;False
1.11.22-1;-16.3774843;-71.50865371;-1938904.307;2841739.416;False
1.11.22-1;-16.37792175;-71.50907042;-1938950.45;2841686.443;False
1.11.22-2; ; ;-1.516416327;20763369.87; 
1.11.22-2;-16.37795928;-71.50806334;-1938967.55;2841800.173;False
1.11.22-2;-16.37761922;-71.50764481;-1938932.873;2841852.081;False
1.11.22-2;-16.37702749;-71.50819695;-1938856.394;2841797.183;False
1.11.22-2;-16.37744767;-71.5086186;-1938900.446;2841743.875;False
1.11.22-3; ; ;-1.516416327;20763369.87; 
1.11.22-3;-16.37719388;-71.50715215;-1938889.109;2841913.511;False
1.11.22-3;-16.37662619;-71.50763882;-1938816.281;2841865.724;False
1.11.22-3;-16.37698758;-71.50813995;-1938852.423;2841804.169;False
1.11.22-3;-16.37757002;-71.50759954;-1938927.663;2841857.858;False
1.11.22-4; ; ;-1.516416327;20763369.87; 
1.11.22-4;-16.3772714;-71.50696339;-1938900.597;2841933.908;False
1.11.22-4;-16.37693233;-71.50650264;-1938866.567;2841990.592;False
1.11.22-4;-16.37623901;-71.50710181;-1938777.56;2841931.686;False
1.11.22-4;-16.37659898;-71.50759524;-1938813.633;2841871.023;False
1.11.22-5; ; ;-1.516416327;20763369.87; 
1.11.22-5;-16.37688948;-71.50641752;-1938862.606;2842000.806;False
1.11.22-5;-16.37653579;-71.50592111;-1938827.308;2842061.726;False
1.11.22-5;-16.37582577;-71.50654282;-1938736.054;2842000.481;False
1.11.22-5;-16.37619729;-71.50704369;-1938773.391;2841938.822;False
1.11.22-6; ; ;-1.516416327;20763369.87; 
1.11.22-6;-16.37739705;-71.50530111;-1938936.309;2842120.802;False
1.11.22-6;-16.3771336;-71.50549305;-1938902.939;2842102.472;False
1.11.22-6;-16.37662517;-71.50586527;-1938838.513;2842066.893;False
1.11.22-6;-16.37695924;-71.50633948;-1938871.785;2842008.747;False
1.11.22-6;-16.37773402;-71.50575469;-1938970.183;2842064.957;False
1.11.22-7; ; ;-1.516416327;20763369.87; 
1.11.22-7;-16.3781927;-71.50539477;-1939028.609;2842099.791;False
1.11.22-7;-16.37797453;-71.50484146;-1939009.95;2842165.395;False
1.11.22-7;-16.37748957;-71.50520288;-1938948.417;2842130.736;False
1.11.22-7;-16.3778238;-71.50567233;-1938981.769;2842073.127;False
1.11.22-8; ; ;-1.516416327;20763369.87; 
1.11.22-8;-16.37743408;-71.50511791;-1938942.969;2842141.097;False
1.11.22-8;-16.37794806;-71.50473625;-1939008.167;2842177.674;False
1.11.22-8;-16.37771604;-71.50417576;-1938987.972;2842244.274;False
1.11.22-8;-16.37708321;-71.50463119;-1938907.881;2842200.882;False
1.11.22-9; ; ;-1.516416327;20763369.87; 
1.11.22-9;-16.37734766;-71.50519092;-1938931.895;2842133.945;False
1.11.22-9;-16.37701929;-71.50471849;-1938899.271;2842191.815;False
1.11.22-9;-16.3762344;-71.50527724;-1938800.013;2842138.69;False
1.11.22-9;-16.37657896;-71.50577093;-1938834.273;2842078.197;False
1.11.22-10; ; ;-1.516416327;20763369.87; 
1.11.22-10;-16.3764929;-71.50585587;-1938823.091;2842069.686;False
1.11.22-10;-16.37614931;-71.50537029;-1938788.844;2842129.246;False
1.11.22-10;-16.37545485;-71.50601826;-1938699.087;2842064.819;False
1.11.22-10;-16.37579426;-71.50649227;-1938732.989;2842006.626;False
1.11.22-11; ; ;-1.516416327;20763369.87; 
1.11.22-11;-16.37586658;-71.50553235;-1938753.584;2842114.556;False
1.11.22-11;-16.37610576;-71.50530422;-1938784.559;2842137.308;False
1.11.22-11;-16.37576959;-71.50482596;-1938751.092;2842195.942;False
1.11.22-11;-16.37506512;-71.5054567;-1938660.375;2842133.6;False
1.11.22-11;-16.37541665;-71.50594722;-1938695.493;2842073.375;False
1.11.22-12; ; ;-1.516416327;20763369.87; 
1.11.22-12;-16.3766055;-71.50414965;-1938857.825;2842261.737;False
1.11.22-12;-16.37623786;-71.50442591;-1938811.15;2842235.203;False
1.11.22-12;-16.37585302;-71.5047267;-1938762.144;2842206.111;False
1.11.22-12;-16.37616964;-71.50520221;-1938793.351;2842148.045;False
1.11.22-12;-16.37695074;-71.50465485;-1938892.019;2842199.928;False
1.11.22-13; ; ;-1.516416327;20763369.87; 
1.11.22-13;-16.3775378;-71.50374244;-1938972.493;2842295.75;False
1.11.22-13;-16.3772789;-71.50363478;-1938943.433;2842311.341;False
1.11.22-13;-16.376699;-71.50406811;-1938869.839;2842269.764;False
